,Compound,TyreLife,FreshTyre,Position,GridPosition,Round,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed
0,1,1.0,11.0,17.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
1,0,4.0,13.0,10.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
2,0,4.0,5.0,5.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
3,1,1.0,9.0,16.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
4,0,4.0,6.0,7.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
5,0,1.0,14.0,13.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
6,1,1.0,10.0,15.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
7,0,1.0,7.0,11.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
8,0,1.0,19.0,12.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
9,0,4.0,3.0,4.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
10,0,4.0,12.0,8.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
11,0,4.0,2.0,1.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
12,0,4.0,4.0,3.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
13,0,1.0,20.0,18.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
14,1,1.0,16.0,19.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
15,0,4.0,8.0,9.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
16,0,4.0,1.0,2.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
17,0,4.0,18.0,6.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
18,2,1.0,17.0,20.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
19,1,1.0,15.0,14.0,1,2019,23.2,72.2,1015.5,0,42.9,0.9
0,0,4.0,8.0,13.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
1,0,1.0,10.0,14.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
2,0,4.0,3.0,1.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
3,0,1.0,14.0,18.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
4,0,4.0,13.0,6.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
5,0,4.0,9.0,12.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
6,0,1.0,12.0,15.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
7,0,1.0,17.0,17.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
8,0,1.0,18.0,10.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
